日期,最高气温,最低气温,天气,风向,风力
2011/2/22,19,14,小雨转多云,无持续风向,微风
2011/2/23,20,15,多云转阴,无持续风向,微风
2011/2/24,21,14,多云,无持续风向,微风
2011/2/25,26,14,多云,无持续风向,微风
2011/2/26,25,18,多云,无持续风向,微风
2011/2/27,25,18,多云,无持续风向,微风
2011/2/28,27,17,晴转多云,无持续风向,微风
2011/3/1,25,13,多云,无持续风向,微风
2011/3/2,19,12,多云转阴,北风转无持续风向,3-4级转微风
2011/3/3,22,12,多云,无持续风向,微风
2011/3/4,21,12,多云,无持续风向,微风
2011/3/5,23,15,多云转阴,无持续风向,微风
2011/3/6,23,14,阴转小雨,无持续风向转北风,微风转3-4级
2011/3/7,17,12,阴,北风,3-4级
2011/3/8,19,12,小雨,无持续风向,微风
2011/3/9,16,12,小雨,无持续风向转北风,微风转3-4级
2011/3/10,17,13,小雨转阴,无持续风向,微风
2011/3/11,19,13,多云,无持续风向,微风
2011/3/12,19,15,多云,无持续风向,微风
2011/3/13,25,15,多云,无持续风向,微风
2011/3/14,26,17,多云,无持续风向,微风
2011/3/15,22,11,多云,北风,4-5级转3-4级
2011/3/16,15,10,阴,北风,4-5级转3-4级
2011/3/17,19,13,多云转小雨,北风转无持续风向,3-4级转微风
2011/3/18,15,11,小到中雨转中雨,无持续风向,微风
2011/3/19,16,12,小雨,无持续风向,微风
2011/3/20,21,17,多云,无持续风向,微风
2011/3/21,27,18,阴转小雨,无持续风向,微风
2011/3/22,15,11,阴转小雨,北风,3-4级
2011/3/23,18,11,多云转阴,北风,3-4级
2011/3/24,17,13,阴转多云,无持续风向,微风
2011/3/25,18,13,多云,无持续风向,微风
2011/3/26,20,14,阴,无持续风向,微风
2011/3/27,15,10,小雨转阴,无持续风向,微风
2011/3/28,22,12,多云,无持续风向,微风
2011/3/29,25,12,多云,无持续风向,微风
2011/3/30,21,13,阴,无持续风向,微风
2011/3/31,25,15,多云,无持续风向,微风
2011/4/1,27,16,多云,无持续风向,微风
2011/4/2,28,17,多云,无持续风向,微风
2011/4/3,28,14,多云转小雨,无持续风向,微风
2011/4/4,19,15,阴转多云,无持续风向,微风
2011/4/5,23,16,多云,无持续风向,微风
2011/4/6,24,17,多云,无持续风向,微风
2011/4/7,26,17,多云,无持续风向,微风
2011/4/8,27,18,多云,无持续风向,微风
2011/4/9,28,18,多云,无持续风向,微风
2011/4/10,29,18,多云,无持续风向,微风
2011/4/11,31,18,晴转多云,无持续风向,微风
2011/4/12,28,19,多云,无持续风向,微风
2011/4/13,29,20,多云,无持续风向,微风
2011/4/14,31,19,多云,无持续风向,微风
2011/4/15,31,19,多云,无持续风向,微风
2011/4/16,32,21,多云转雷阵雨,无持续风向转北风,微风转3-4级
2011/4/17,27,21,大到暴雨转阵雨,无持续风向转北风,微风转3-4级
2011/4/18,29,18,多云,无持续风向,微风
2011/4/19,28,18,晴转多云,无持续风向,微风
2011/4/20,32,19,晴转多云,无持续风向,微风
2011/4/21,27,21,多云,无持续风向,微风
2011/4/22,27,18,雷阵雨转阴,无持续风向,微风
2011/4/23,29,18,多云,无持续风向,微风
2011/4/24,29,18,多云,无持续风向,微风
2011/4/25,31,18,多云,无持续风向,微风
2011/4/26,31,20,多云,无持续风向,微风
2011/4/27,31,22,多云,无持续风向,微风
2011/4/28,32,23,多云,无持续风向,微风
2011/4/29,26,22,小雨转阵雨,无持续风向,微风
2011/4/30,28,23,阵雨,无持续风向,微风
2011/5/1,28,23,阵雨,无持续风向,微风
2011/5/2,29,25,阵雨,无持续风向,微风
2011/5/3,27,20,中雨转小到中雨,无持续风向,微风
2011/5/4,23,18,阵雨,无持续风向,微风
2011/5/5,25,20,阵雨,无持续风向,微风
2011/5/6,28,24,阵雨,无持续风向,微风
2011/5/7,30,24,阵雨转多云,无持续风向,微风
2011/5/8,30,24,阵雨,无持续风向,微风
2011/5/9,32,24,多云,无持续风向,微风
2011/5/10,34,26,多云,无持续风向,微风
2011/5/11,31,25,雷阵雨转中到大雨,无持续风向,微风
2011/5/12,32,23,中雨转中到大雨,无持续风向,微风
2011/5/13,25,22,中到大雨,无持续风向,微风
2011/5/14,26,22,雷阵雨,无持续风向,微风
2011/5/15,26,22,阵雨,无持续风向,微风
2011/5/16,27,22,中到大雨转阵雨,无持续风向,微风
2011/5/17,29,20,晴,无持续风向,微风
2011/5/18,31,21,多云,无持续风向,微风
2011/5/19,31,20,晴转多云,无持续风向,微风
2011/5/20,32,23,多云,无持续风向,微风
2011/5/21,31,23,多云转阵雨,无持续风向,微风
2011/5/22,26,21,暴雨,无持续风向,微风
2011/5/23,25,20,阴,无持续风向,微风
2011/5/24,27,20,多云,无持续风向,微风
2011/5/25,28,22,多云,无持续风向,微风
2011/5/26,30,21,晴,无持续风向,微风
2011/5/27,31,23,多云,无持续风向,微风
2011/5/28,33,22,晴,无持续风向,微风
2011/5/29,34,21,晴,无持续风向,微风
2011/5/30,33,23,多云,无持续风向,微风
2011/5/31,34,21,晴,无持续风向,微风
2011/6/1,35,22,晴转多云,无持续风向,微风
2011/6/2,34,26,多云,无持续风向,微风
2011/6/3,33,26,多云,无持续风向,微风
2011/6/4,33,27,多云,无持续风向,微风
2011/6/5,33,27,阴转阵雨,无持续风向,微风
2011/6/6,34,27,阵雨转多云,无持续风向,微风
2011/6/7,33,27,阵雨,无持续风向,微风
2011/6/8,33,26,阵雨,无持续风向,微风
2011/6/9,34,27,阵雨转多云,无持续风向,微风
2011/6/10,35,27,多云,无持续风向转东风,微风转3-4级
2011/6/11,33,26,阵雨,无持续风向,微风
2011/6/12,29,25,雷阵雨转阵雨,无持续风向,微风
2011/6/13,32,26,雷阵雨转多云,无持续风向,微风
2011/6/14,34,26,雷阵雨转多云,无持续风向,微风
2011/6/15,34,26,阵雨,无持续风向,微风
2011/6/16,30,23,中到大雨转暴雨,无持续风向,微风
2011/6/17,29,25,大到暴雨转中到大雨,东南风,3-4级
2011/6/18,31,26,雷阵雨转阵雨,无持续风向,微风
2011/6/19,33,25,多云,无持续风向,微风
2011/6/20,35,26,多云,无持续风向,微风
2011/6/21,35,25,多云,无持续风向,微风
2011/6/22,32,24,中雨转大到暴雨,东北风转东南风,3-4级转4-5级
2011/6/23,30,25,中雨,东南风转无持续风向,3-4级转微风
2011/6/24,33,26,阵雨,无持续风向,微风
2011/6/25,34,25,阵雨,无持续风向,微风
2011/6/26,29,24,大到暴雨转雷阵雨,无持续风向,微风
2011/6/27,32,26,阵雨转中雨,无持续风向,微风
2011/6/28,33,25,雷阵雨转中到大雨,无持续风向,微风
2011/6/29,29,25,暴雨,无持续风向,微风
2011/6/30,29,25,中到大雨转中雨,无持续风向,微风
2011/7/1,31,26,雷阵雨转多云,无持续风向,微风
2011/7/2,34,26,多云转晴,无持续风向,微风
2011/7/3,35,26,晴,无持续风向,微风
2011/7/4,35,26,晴,无持续风向,微风
2011/7/5,35,26,晴,无持续风向,微风
2011/7/6,35,26,晴,无持续风向,微风
2011/7/7,35,27,晴,无持续风向,微风
2011/7/8,35,26,晴,无持续风向,微风
2011/7/9,35,27,多云,无持续风向,微风
2011/7/10,33,25,雷阵雨转阴,无持续风向,微风
2011/7/11,32,24,雷阵雨,无持续风向,微风
2011/7/12,33,25,雷阵雨,无持续风向,微风
2011/7/13,33,26,雷阵雨,无持续风向,微风
2011/7/14,33,26,雷阵雨,无持续风向,微风
2011/7/15,30,25,大到暴雨转暴雨,无持续风向,微风
2011/7/16,28,25,暴雨转大雨,无持续风向,微风
2011/7/17,30,26,大雨转中雨,无持续风向,微风
2011/7/18,33,26,中雨转中到大雨,无持续风向,微风
2011/7/19,32,25,雷阵雨转阵雨,无持续风向,微风
2011/7/20,31,25,大雨转中到大雨,无持续风向,微风
2011/7/21,32,25,雷阵雨转阵雨,无持续风向,微风
2011/7/22,34,26,多云,无持续风向,微风
2011/7/23,35,26,晴,无持续风向,微风
2011/7/24,35,26,晴,无持续风向,微风
2011/7/25,36,26,晴,无持续风向,微风
2011/7/26,35,27,多云转晴,无持续风向,微风
2011/7/27,35,26,晴,无持续风向,微风
2011/7/28,35,25,晴转雷阵雨,无持续风向,微风
2011/7/29,32,25,中雨,东风转东北风,3-4级
2011/7/30,33,26,阵雨转多云,无持续风向,微风
2011/7/31,33,25,阵雨,无持续风向,微风
2011/8/1,33,24,阵雨转多云,无持续风向,微风
2011/8/2,35,26,多云转晴,无持续风向,微风
2011/8/3,36,25,晴,无持续风向,微风
2011/8/4,36,25,晴,无持续风向,微风
2011/8/5,36,26,晴,无持续风向,微风
2011/8/6,35,26,多云,无持续风向,微风
2011/8/7,34,26,多云,无持续风向,微风
2011/8/8,34,27,雷阵雨转阵雨,无持续风向,微风
2011/8/9,30,25,中到大雨,无持续风向,微风
2011/8/10,30,25,中雨转雷阵雨,无持续风向,微风
2011/8/11,30,26,阵雨,无持续风向,微风
2011/8/12,34,26,阵雨转多云,无持续风向,微风
2011/8/13,35,26,晴,无持续风向,微风
2011/8/14,35,26,晴,无持续风向,微风
2011/8/15,35,25,晴,无持续风向,微风
2011/8/16,35,26,晴转多云,无持续风向,微风
2011/8/17,35,26,晴,无持续风向,微风
2011/8/18,35,26,多云,无持续风向,微风
2011/8/19,35,25,多云转雷阵雨,无持续风向,微风
2011/8/20,35,25,阵雨转多云,无持续风向,微风
2011/8/21,35,25,多云转晴,无持续风向,微风
2011/8/22,35,25,雷阵雨转多云,无持续风向,微风
2011/8/23,35,25,多云,无持续风向,微风
2011/8/24,34,26,雷阵雨,无持续风向,微风
2011/8/25,34,25,雷阵雨转多云,无持续风向,微风
2011/8/26,35,26,多云,无持续风向,微风
2011/8/27,35,25,晴,无持续风向,微风
2011/8/28,35,26,晴,无持续风向,微风
2011/8/29,36,26,晴转多云,无持续风向,微风
2011/8/30,36,26,晴,无持续风向,微风
2011/8/31,35,25,多云转雷阵雨,无持续风向,微风
2011/9/1,29,24,中到大雨转大到暴雨,无持续风向,微风
2011/9/2,30,25,大雨,无持续风向,微风
2011/9/3,31,26,中雨转阵雨,无持续风向,微风
2011/9/4,32,25,阴转多云,无持续风向,微风
2011/9/5,34,26,多云,无持续风向,微风
2011/9/6,33,25,多云,无持续风向,微风
2011/9/7,33,25,阵雨转多云,无持续风向,微风
2011/9/8,35,25,多云,无持续风向,微风
2011/9/9,35,25,多云,无持续风向,微风
2011/9/10,33,25,阵雨转多云,无持续风向,微风
2011/9/11,33,24,雷阵雨转阵雨,无持续风向,微风
2011/9/12,33,24,阵雨转多云,无持续风向,微风
2011/9/13,33,25,多云转阵雨,无持续风向,微风
2011/9/14,33,25,多云,无持续风向,微风
2011/9/15,33,25,雷阵雨转阴,无持续风向,微风
2011/9/16,33,24,多云,无持续风向,微风
2011/9/17,34,24,阵雨,无持续风向,微风
2011/9/18,35,24,多云,无持续风向,微风
2011/9/19,31,21,阵雨转多云,无持续风向,微风
2011/9/20,30,20,晴,北风,3-4级
2011/9/21,29,20,晴,无持续风向,微风
2011/9/22,29,21,晴,无持续风向,微风
2011/9/23,30,21,晴转多云,无持续风向,微风
2011/9/24,29,22,阵雨,无持续风向,微风
2011/9/25,28,23,阵雨转多云,无持续风向,微风
2011/9/26,31,23,多云,无持续风向,微风
2011/9/27,33,24,晴,无持续风向,微风
2011/9/28,34,23,晴转阵雨,无持续风向转东风,微风转3-4级
2011/9/29,28,21,中到大雨转大到暴雨,东北风转东风,4-5级
2011/9/30,30,24,中雨转阵雨,无持续风向,微风
2011/10/1,30,23,多云,无持续风向,微风
2011/10/2,30,22,多云,无持续风向,微风
2011/10/3,26,20,阵雨,东北风,3-4级
2011/10/4,25,19,阵雨,北风,3-4级
2011/10/5,26,20,多云转阵雨,无持续风向,微风
2011/10/6,28,21,多云,无持续风向,微风
2011/10/7,27,21,多云,无持续风向,微风
2011/10/8,30,21,晴,无持续风向,微风
2011/10/9,31,21,晴转多云,无持续风向,微风
2011/10/10,32,22,多云转阵雨,无持续风向,微风
2011/10/11,29,22,阵雨,无持续风向,微风
2011/10/12,27,23,阵雨转中到大雨,无持续风向,微风
2011/10/13,26,22,大雨,无持续风向,微风
2011/10/14,26,20,阵雨转多云,无持续风向,微风
2011/10/15,27,19,多云,无持续风向,微风
2011/10/16,29,18,多云,无持续风向,微风
2011/10/17,29,17,晴,无持续风向,微风
2011/10/18,29,16,晴,无持续风向,微风
2011/10/19,30,18,晴,无持续风向,微风
2011/10/20,29,18,晴,无持续风向,微风
2011/10/21,29,17,晴,无持续风向,微风
2011/10/22,30,19,晴,无持续风向,微风
2011/10/23,30,21,多云,无持续风向,微风
2011/10/24,29,19,多云,无持续风向,微风
2011/10/25,26,17,多云,无持续风向,微风
2011/10/26,26,19,多云,无持续风向,微风
2011/10/27,26,20,多云,无持续风向,微风
2011/10/28,27,18,多云,无持续风向,微风
2011/10/29,27,18,多云,无持续风向,微风
2011/10/30,27,19,多云,无持续风向,微风
2011/10/31,27,18,多云,无持续风向,微风
2011/11/1,28,18,多云,无持续风向,微风
2011/11/2,28,19,多云,无持续风向,微风
2011/11/3,27,19,多云转小雨,无持续风向,微风
2011/11/4,30,22,多云,无持续风向,微风
2011/11/5,30,22,多云,无持续风向,微风
2011/11/6,31,23,多云,无持续风向,微风
2011/11/7,31,21,多云转小雨,无持续风向,微风
2011/11/8,25,18,大雨,无持续风向,微风
2011/11/9,17,15,大雨转中雨,北风,4-5级
2011/11/10,22,15,多云,东北风,3-4级
2011/11/11,23,16,多云,无持续风向,微风
2011/11/12,25,17,晴转多云,无持续风向,微风
2011/11/13,26,16,晴转多云,无持续风向,微风
2011/11/14,27,17,晴转多云,无持续风向,微风
2011/11/15,28,20,多云,无持续风向,微风
2011/11/16,28,19,多云,无持续风向,微风
2011/11/17,27,21,小雨转中雨,无持续风向,微风
2011/11/18,24,21,小雨转小到中雨,无持续风向,微风
2011/11/19,27,17,阴转多云,无持续风向,微风
2011/11/20,26,15,晴,无持续风向,微风
2011/11/21,22,17,多云转阴,无持续风向,微风
2011/11/22,23,16,阴转多云,无持续风向,微风
2011/11/23,25,15,晴,无持续风向,微风
2011/11/24,25,16,晴转多云,无持续风向,微风
2011/11/25,24,16,阴,无持续风向,微风
2011/11/26,22,15,小雨转多云,无持续风向,微风
2011/11/27,25,14,多云,无持续风向,微风
2011/11/28,27,14,晴,无持续风向,微风
2011/11/29,27,16,晴转多云,无持续风向,微风
2011/11/30,21,13,多云转阴,北风,3-4级
2011/12/1,18,9,多云转晴,北风,4-5级转3-4级
2011/12/2,17,6,晴,北风转无持续风向,3-4级转微风
2011/12/3,17,5,晴,无持续风向,微风
2011/12/4,21,10,晴转多云,无持续风向,微风
2011/12/5,22,11,晴转多云,无持续风向,微风
2011/12/6,21,16,阴,无持续风向,微风
2011/12/7,25,15,多云转小雨,无持续风向转北风,微风转3-4级
2011/12/8,15,9,阴,北风,3-4级
2011/12/9,14,6,阴转多云,北风,4-5级
2011/12/10,16,4,多云转晴,北风,3-4级
2011/12/11,16,4,晴,北风转无持续风向,3-4级转微风
2011/12/12,17,8,晴,无持续风向,微风
2011/12/13,20,11,晴转多云,无持续风向,微风
2011/12/14,22,12,多云转阴,无持续风向,微风
2011/12/15,19,10,多云,北风,3-4级转4-5级
2011/12/16,17,9,多云,北风,4-5级
2011/12/17,18,8,多云转晴,北风转无持续风向,3-4级转微风
2011/12/18,18,7,多云转晴,无持续风向,微风
2011/12/19,20,11,晴转多云,无持续风向,微风
2011/12/20,21,13,晴转多云,无持续风向,微风
2011/12/21,20,12,阴,无持续风向,微风
2011/12/22,19,10,多云,北风,3-4级
2011/12/23,16,5,晴,北风,3-4级
2011/12/24,16,5,晴,无持续风向,微风
2011/12/25,16,6,晴,无持续风向,微风
2011/12/26,18,10,多云,无持续风向,微风
2011/12/27,20,10,多云,无持续风向,微风
2011/12/28,22,12,多云,无持续风向,微风
2011/12/29,23,12,多云转阴,无持续风向,微风
2011/12/30,20,12,多云,北风,3-4级
2011/12/31,19,10,多云,无持续风向,微风
2012/1/1,21,10,多云,无持续风向,微风
2012/1/2,18,10,多云,无持续风向,微风
2012/1/3,18,8,阴转小雨,无持续风向转北风,微风转3-4级
2012/1/4,10,7,小雨,北风,3-4级
2012/1/5,7,5,小雨,北风,3-4级
2012/1/6,9,5,小雨转阴,无持续风向,微风
2012/1/7,14,9,阴,无持续风向,微风
2012/1/8,17,9,多云,无持续风向,微风
2012/1/9,19,9,多云,无持续风向,微风
2012/1/10,20,9,多云,无持续风向,微风
2012/1/11,17,11,阴,无持续风向,微风
2012/1/12,14,10,小雨,无持续风向,微风
2012/1/13,15,11,小雨,无持续风向,微风
2012/1/14,17,13,小雨转中到大雨,无持续风向,微风
2012/1/16,16,11,阴转多云,无持续风向,微风
2012/1/17,18,11,阴转多云,无持续风向,微风
2012/1/18,21,12,多云,无持续风向,微风
2012/1/19,20,16,阴,无持续风向,微风
2012/1/20,17,12,小雨,无持续风向,微风
2012/1/21,14,7,小雨转小到中雨,北风,3-4级
2012/1/22,7,4,小雨,北风,3-4级
2012/1/23,7,5,小雨,北风,3-4级
2012/1/24,7,5,小雨,北风,3-4级
2012/1/25,9,4,阴,北风转无持续风向,3-4级转微风
2012/1/26,8,4,小雨转阴,无持续风向,微风
2012/1/27,11,7,阴转多云,无持续风向,微风
2012/1/28,16,11,雾,无持续风向,微风
2012/1/29,13,9,阴,北风,3-4级
2012/1/30,16,8,多云,无持续风向,微风
2012/1/31,18,10,多云,无持续风向,微风
2012/2/1,19,11,多云,无持续风向,微风
2012/2/2,14,10,阴,北风,3-4级
2012/2/3,13,9,小雨转阴,无持续风向,微风
2012/2/4,16,11,阴,无持续风向,微风
2012/2/5,21,14,阴转雾,无持续风向,微风
2012/2/6,23,12,小雨,无持续风向转北风,微风转3-4级
2012/2/7,17,8,多云,北风,3-4级
2012/2/8,14,10,阴,无持续风向,微风
2012/2/9,14,7,阴,无持续风向,微风
2012/2/10,10,7,小雨,北风转东北风,3-4级
2012/2/11,13,6,阴,无持续风向,微风
2012/2/12,16,9,阴,无持续风向,微风
2012/2/13,23,14,多云转阴,无持续风向,微风
2012/2/14,26,18,多云转雾,无持续风向,微风
2012/2/15,26,14,多云转小雨,无持续风向,微风
2012/2/16,14,10,小雨,北风,3-4级
2012/2/17,13,8,阴,北风,3-4级
2012/2/18,16,8,阴,北风,3-4级
2012/2/19,19,10,多云,无持续风向,微风
2012/2/20,19,14,多云,无持续风向,微风
2012/2/21,23,16,阴,无持续风向,微风
2012/2/22,24,18,小雨,无持续风向,微风
2012/2/23,23,19,小雨,无持续风向,微风
2012/2/24,25,16,小雨,无持续风向转东北风,微风转3-4级
2012/2/25,15,10,小雨,北风,3-4级
2012/2/26,12,9,阴,北风,3-4级
2012/2/27,9,6,小雨转小到中雨,无持续风向,微风
2012/2/28,12,7,小雨转阴,无持续风向,微风
2012/2/29,17,14,小雨,无持续风向,微风
2012/3/1,18,12,雾,无持续风向,微风
2012/3/2,23,17,雾,无持续风向,微风
2012/3/3,18,16,阴,无持续风向,微风
2012/3/4,23,19,小雨转中到大雨,无持续风向,微风
2012/3/5,23,19,中雨,无持续风向,微风
2012/3/6,25,22,中雨转小雨,无持续风向,微风
2012/3/7,18,16,小雨,无持续风向,微风
2012/3/8,15,11,小雨,北风,3-4级
2012/3/9,13,9,小雨,北风,3-4级
2012/3/10,13,9,阴转小雨,北风,3-4级
2012/3/11,11,8,小雨,无持续风向,微风
2012/3/12,14,10,阴,无持续风向,微风
2012/3/13,15,11,小雨转阴,无持续风向,微风
2012/3/14,17,13,小雨转阴,无持续风向,微风
2012/3/15,21,16,阴转小雨,无持续风向,微风
2012/3/16,24,18,小雨,无持续风向,微风
2012/3/17,25,20,小雨,无持续风向,微风
2012/3/18,27,20,阴,无持续风向,微风
2012/3/19,24,19,小雨,无持续风向,微风
2012/3/20,24,18,小雨,无持续风向,微风
2012/3/21,24,18,阴,无持续风向,微风
2012/3/22,26,19,阴转阵雨,无持续风向,微风
2012/3/23,22,12,小雨转阵雨,北风,3-4级
2012/3/24,22,11,晴,北风转无持续风向,3-4级转微风
2012/3/25,24,13,晴转多云,无持续风向,微风
2012/3/26,25,12,晴转多云,无持续风向,微风
2012/3/27,26,14,晴转多云,无持续风向,微风
2012/3/28,27,18,晴转多云,无持续风向,微风
2012/3/29,26,18,多云,无持续风向,微风
2012/3/30,28,16,多云转阵雨,无持续风向转北风,微风转3-4级
2012/3/31,25,16,多云转晴,北风,3-4级
2012/4/1,25,23,中雨,南风,小于3级
2012/4/2,27,21,中雨,南风,小于3级
2012/4/3,24,24,中雨,南风,小于3级
2012/4/4,27,21,中雨,南风,小于3级
2012/4/5,27,21,中雨,南风,小于3级
2012/4/6,26,22,中雨,南风,小于3级
2012/4/7,27,21,中雨,南风,小于3级
2012/4/8,25,23,中雨,南风,小于3级
2012/4/9,27,21,中雨,南风,小于3级
2012/4/10,26,22,中雨,南风,小于3级
2012/4/11,25,23,中雨,南风,小于3级
2012/4/12,26,22,中雨,南风,小于3级
2012/4/13,29,23,雷阵雨转阵雨,东风,小于3级
2012/4/14,30,23,多云转雷阵雨,东南风,小于3级
2012/4/15,26,23,暴雨,南风,小于3级
2012/4/16,28,23,雷阵雨转中到大雨,北风,小于3级
2012/4/17,25,22,中雨转大雨,东南风,小于3级
2012/4/18,24,20,暴雨,南风,小于3级
2012/4/19,24,21,暴雨,东南风,小于3级
2012/4/20,24,21,暴雨,西北风,小于3级
2012/4/21,26,19,阴转多云,西北风,小于3级
2012/4/22,31,21,多云,南风,小于3级
2012/4/23,29,23,阵雨转雷阵雨,东南风,小于3级
2012/4/24,25,22,阵雨转暴雨,南风,小于3级
2012/4/25,28,22,雷阵雨转多云,北风,3-4级转小于3级
2012/4/26,28,23,多云转阵雨,北风,小于3级
2012/4/27,24,20,大雨转中雨,南风,小于3级
2012/4/28,29,22,雷阵雨,东南风,小于3级
2012/4/29,30,23,多云转雷阵雨,东南风,小于3级
2012/4/30,31,25,雷阵雨转中到大雨,东南风,小于3级
2012/5/1,32,25,雷阵雨,东南风,小于3级
2012/5/2,32,25,阵雨转多云,北风,小于3级
2012/5/3,31,25,雷阵雨,东北风,小于3级
2012/5/4,33,24,雷阵雨,南风,小于3级
2012/5/5,33,24,多云,东北风,小于3级
2012/5/6,33,24,雷阵雨转多云,东风,小于3级
2012/5/7,34,25,多云转晴,东南风,小于3级
2012/5/8,35,26,晴,东南风,小于3级
2012/5/9,32,26,多云转雷阵雨,东风,小于3级
2012/5/10,31,25,中雨转雷阵雨,东南风,小于3级
2012/5/11,30,25,雷阵雨,东风,小于3级
2012/5/12,32,25,雷阵雨,南风,小于3级
2012/5/13,30,25,雷阵雨转暴雨,北风,小于3级
2012/5/14,30,25,大雨转雷阵雨,南风,小于3级
2012/5/15,33,24,雷阵雨,北风,小于3级
2012/5/16,30,24,雷阵雨,东北风,小于3级
2012/5/17,29,25,大雨,东北风,小于3级
2012/5/18,31,24,阵雨转大雨,东风,小于3级
2012/5/19,29,24,中雨转雷阵雨,北风,小于3级
2012/5/20,34,24,多云转晴,北风,小于3级
2012/5/21,32,23,多云,东北风,小于3级
2012/5/22,31,24,多云,北风,小于3级
2012/5/23,32,23,多云,东南风,小于3级
2012/5/24,32,22,多云,北风,小于3级
2012/5/25,31,24,多云转雷阵雨,东风,小于3级
2012/5/26,29,23,雷阵雨转大雨,南风,小于3级
2012/5/27,31,24,雷阵雨,东北风,小于3级
2012/5/28,32,25,阵雨转多云,东南风,小于3级
2012/5/29,30,24,阵雨转中雨,南风,小于3级
2012/5/30,31,24,阵雨转多云,东南风,小于3级
2012/5/31,31,24,多云,东风,小于3级
2012/6/1,31,23,多云,西北风,小于3级
2012/6/2,31,24,多云,东北风,小于3级
2012/6/3,32,24,多云,西南风,小于3级
2012/6/4,31,24,多云,南风,小于3级
2012/6/5,33,24,多云,南风,小于3级
2012/6/6,35,26,多云,南风,小于3级
2012/6/7,35,25,多云,东南风,小于3级
2012/6/8,33,25,阵雨,南风,小于3级
2012/6/9,34,27,多云,西南风,小于3级
2012/6/10,33,26,雷阵雨,南风,小于3级
2012/6/11,30,25,暴雨,西北风,小于3级
2012/6/12,32,26,阵雨转雷阵雨,西南风,小于3级
2012/6/13,31,25,阵雨转雷阵雨,东南风,小于3级
2012/6/14,33,24,阵雨,南风,小于3级
2012/6/15,32,25,雷阵雨,西南风,小于3级
2012/6/16,29,24,大雨转暴雨,东风,小于3级
2012/6/17,29,24,中雨转中到大雨,东南风,小于3级
2012/6/18,32,26,阵雨转多云,东北风,3-4级转小于3级
2012/6/19,34,26,多云转阵雨,北风,小于3级
2012/6/20,29,25,雷阵雨转大雨,西南风,小于3级
2012/6/21,30,25,暴雨转中到大雨,东南风,小于3级
2012/6/22,31,25,阵雨转中雨,东北风,小于3级
2012/6/23,31,25,雷阵雨,东风,小于3级
2012/6/24,31,25,中雨,东南风,小于3级
2012/6/25,32,26,雷阵雨,南风,小于3级
2012/6/26,33,26,阵雨转多云,东南风,小于3级
2012/6/27,34,26,多云,南风,小于3级
2012/6/28,35,25,多云,南风,小于3级转3-4级
2012/6/29,29,24,阵雨转暴雨,东风,3-4级转5-6级
2012/6/30,32,25,阵雨,东风,3-4级转小于3级
2012/7/1,35,25,多云,东南风,小于3级
2012/7/2,34,24,多云,南风,小于3级
2012/7/3,34,24,多云,南风,小于3级
2012/7/4,33,24,多云转雷阵雨,东北风,小于3级
2012/7/5,32,25,阵雨,东南风,小于3级
2012/7/6,33,25,阵雨,西南风,小于3级
2012/7/7,33,25,阵雨,东南风,小于3级
2012/7/8,34,25,多云,南风,小于3级
2012/7/9,35,26,晴,南风,小于3级
2012/7/10,35,26,晴,东南风,小于3级
2012/7/11,35,26,晴,东南风,小于3级
2012/7/12,34,26,晴转多云,东南风,小于3级
